Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Magnetic Field,Acceleration,Orientation,Image file,Image type,sunlight
11,2022-04-24 16:59:37.627837,-46.95058859178969,11.257196601788724,27.3927,50.59,1009.4048,"-11.089300155639648,-8.269554138183594,-17.509517669677734","0.015615999698638916,-0.004879999905824661,-0.008295999839901924","282.5547457938407,205.5486044494215,174.69175957094083",/home/pi/msl/weeagles/photo_011.jpg,twilight,Yes
12,2022-04-24 17:00:25.810603,-48.17644357984287,15.229580010204963,27.6333,50.3907,1009.4307,"-11.448541641235352,-8.606472969055176,-17.692001342773438","0.017079999670386314,-0.007075999863445759,-0.010003999806940556","280.8689731444115,210.94670785615767,172.52004628282194",/home/pi/msl/weeagles/photo_012.jpg,twilight,Yes
13,2022-04-24 17:01:13.677369,-49.25182078259931,19.4263774092801,27.7168,50.5839,1009.4446,"-11.727147102355957,-9.16895580291748,-17.95572853088379","0.017079999670386314,-0.006099999882280827,-0.006099999882280827","281.0432864022194,239.57834176247422,140.4057672206076",/home/pi/msl/weeagles/photo_013.jpg,twilight,Yes
14,2022-04-24 17:02:01.387347,-50.1479722978382,23.775090556655,27.7014,50.5685,1009.415,"-12.26190185546875,-9.500615119934082,-18.439756393432617","0.017079999670386314,-0.0058559998869895935,-0.00634399987757206","283.28468811043996,236.72906004831168,143.75572912168874",/home/pi/msl/weeagles/photo_014.jpg,night,Yes
15,2022-04-24 17:02:52.561699,-50.896979401860975,28.557196314884976,27.9738,50.5624,1009.439,"-12.518645286560059,-9.94002628326416,-18.88165283203125","0.016103999689221382,-0.0056119998916983604,-0.00634399987757206","279.14372200157965,208.21172252756617,173.21407546476527",/home/pi/msl/weeagles/photo_015.jpg,night,Yes
16,2022-04-24 17:03:43.110117,-51.42678297495046,33.48333221739776,27.8332,50.5961,1009.4067,"-12.841078758239746,-10.521394729614258,-19.65035057067871","0.01756799966096878,-0.005123999901115894,-0.005367999896407127","277.3722987799585,174.89331845334792,204.79636839537133",/home/pi/msl/weeagles/photo_016.jpg,night,No
17,2022-04-24 17:04:33.559360,-51.72577890326725,38.46641142404507,27.6949,50.4122,1009.4043,"-13.268378257751465,-11.270575523376465,-20.776798248291016","0.01756799966096878,-0.006099999882280827,-0.007075999863445759","274.8069275390259,166.64456729461523,209.66787787747785",/home/pi/msl/weeagles/photo_017.jpg,night,No
18,2022-04-24 17:05:24.002131,-51.79330611560135,43.48641913468235,27.6041,50.4183,1009.4128,"-13.602863311767578,-11.716551780700684,-21.80942153930664","0.019519999623298645,-0.005123999901115894,-0.008295999839901924","282.1002991574139,157.3036415668408,224.7421736775877",/home/pi/msl/weeagles/photo_018.jpg,night,No
19,2022-04-24 17:06:14.778813,-51.62867522905376,48.49302188702016,27.4431,50.4858,1009.3992,"-13.887472152709961,-12.236449241638184,-23.126619338989258","0.01781199872493744,-0.005123999901115894,-0.008539999835193157","280.8559616340426,145.4111893915814,240.64956131114235",/home/pi/msl/weeagles/photo_019.jpg,night,No
20,2022-04-24 17:07:05.199122,-51.2315919167489,53.46867052800817,27.8119,50.7341,1009.4031,"-14.364112854003906,-12.683135986328125,-24.652244567871094","0.01634800061583519,-0.006099999882280827,-0.00878399983048439","282.28544509524545,131.7264136158406,253.03442914442462",/home/pi/msl/weeagles/photo_020.jpg,night,No
21,2022-04-24 17:07:55.983223,-50.61381849467114,58.30285345810205,27.4898,50.6114,1009.4314,"-14.36780834197998,-13.303525924682617,-25.868154525756836","0.017079999670386314,-0.00634399987757206,-0.009271999821066856","278.9807195370373,133.02025635031612,252.79486025928645",/home/pi/msl/weeagles/photo_021.jpg,night,No
22,2022-04-24 17:08:46.749870,-49.77208269715807,63.04395454901988,27.784,50.3601,1009.3848,"-14.184510231018066,-13.587950706481934,-27.27297019958496","0.01781199872493744,-0.0058559998869895935,-0.007319999858736992","280.4873977962396,143.76948512267714,245.4623379965759",/home/pi/msl/weeagles/photo_022.jpg,night,No
23,2022-04-24 17:09:37.555717,-48.73267033033086,67.5723408968237,27.6314,50.3785,1009.4431,"-13.984068870544434,-13.890705108642578,-28.460866928100586","0.017079999670386314,-0.005367999896407127,-0.008051999844610691","283.3866560045591,144.71740609644817,249.47611232271225",/home/pi/msl/weeagles/photo_023.jpg,night,No
24,2022-04-24 17:10:28.009580,-47.51567141734365,71.86381333278658,27.6659,50.2559,1009.4158,"-13.833314895629883,-14.505407333374023,-29.978397369384766","0.018055999651551247,-0.006831999868154526,-0.008051999844610691","280.72433022835816,181.42184913094357,209.98564559842353",/home/pi/msl/weeagles/photo_024.jpg,night,No
25,2022-04-24 17:11:18.769452,-46.12161268918834,75.9618008580216,27.4908,50.5256,1009.4182,"-13.156180381774902,-15.088360786437988,-31.871767044067383","0.017324000597000122,-0.007075999863445759,-0.009271999821066856","278.52701056104087,218.10995071047859,174.94156690964488",/home/pi/msl/weeagles/photo_025.jpg,night,No
26,2022-04-24 17:12:09.216405,-44.582695678743995,79.81465961128643,27.5838,52.4015,1009.3494,"-12.11885929107666,-15.481618881225586,-33.18989562988281","0.01634800061583519,-0.0056119998916983604,-0.005367999896407127","282.93980453848934,213.44289611098722,179.71428453559636",/home/pi/msl/weeagles/photo_026.jpg,night,No
27,2022-04-24 17:12:59.654023,-42.90458847376571,83.45411136008448,27.313,50.495,1009.3347,"-11.065742492675781,-16.195514678955078,-34.410614013671875","0.015371999703347683,-0.006099999882280827,-0.008051999844610691","285.2815348954282,234.0369136661945,159.4110554541132",/home/pi/msl/weeagles/photo_027.jpg,night,No
28,2022-04-24 17:13:50.812665,-41.092568680679605,86.90324447388754,27.8569,50.4796,1009.4116,"-9.819368362426758,-16.887487411499023,-36.20292282104492","0.015371999703347683,-0.004391999915242195,-0.007807999849319458","287.478151053261,238.39091337526747,151.29849826743057",/home/pi/msl/weeagles/photo_028.jpg,night,No
29,2022-04-24 17:14:41.603951,-39.169476455828296,90.15220538029061,27.4969,50.6881,1009.3801,"-8.487401008605957,-17.34447479248047,-37.44697952270508","0.01781199872493744,-0.008539999835193157,-0.007807999849319458","284.8000133891315,240.30705464502287,147.621698154186",/home/pi/msl/weeagles/photo_029.jpg,night,No
30,2022-04-24 17:15:32.072181,-37.14759673752361,93.21495318672332,27.772,50.6237,1009.282,"-7.091429233551025,-17.489614486694336,-38.42070007324219","0.015371999703347683,-0.0058559998869895935,-0.006831999868154526","280.3533006922647,244.35627765295158,142.78765908986614",/home/pi/msl/weeagles/photo_030.jpg,night,No
